session_id,source.repository,agent,model,trajectory,candidate_score,anomaly_score_global,anomaly_score_within_repo,statistics.input_tokens,statistics.reasoning_tokens,statistics.output_tokens,checkpoint_token_usage.input_tokens,checkpoint_token_usage.cache_creation_tokens,checkpoint_token_usage.cache_read_tokens,checkpoint_token_usage.output_tokens,checkpoint_token_usage.api_call_count,statistics.tool_calls,statistics.user_messages,statistics.assistant_messages,bytes,derived::tokens_per_tool_call,derived::tokens_per_message
ses_32543468affeyW1YI2BEqJxTCu,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_32543468affeyW1YI2BEqJxTCu.jsonl,3.9183595690384174,2.2529090511142456,5.2810009018854664,3965997,0,109675,4243483.0,0.0,50333824.0,125608.0,422.0,360,33,21,18535694,163275.025,1088500.1666666667
019dad6e-bef6-74e2-af30-a8a14fc2b3f4,zchee/spanner-manager,Codex,gpt-5.4,data/transcripts/019dad6e-bef6-74e2-af30-a8a14fc2b3f4.jsonl,3.9131031453596385,2.3601746099869896,5.1836810379372595,118499318,59815,93580,117090825.0,0.0,104468736.0,212648.0,318.0,287,47,59,6407812,1186150.6620209059,3211558.867924528
ses_336ebe11bffePlPIwBobiYzDoC,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_336ebe11bffePlPIwBobiYzDoC.jsonl,3.9016199197490122,2.3254722028676915,5.191195324470092,8337079,0,148456,148676.0,0.0,280704.0,7123.0,16.0,463,76,50,10759059,19270.095032397407,70809.95238095238
8fb9c608-e9d6-441a-a521-ca4f3b79a9b4,rodbegbie/begbie-hugo,Claude Code,claude-sonnet-5,data/transcripts/8fb9c608-e9d6-441a-a521-ca4f3b79a9b4.jsonl,3.864552918390044,2.9367116655332564,4.6236957616365055,186385,0,655065,186383.0,6090329.0,285002925.0,655016.0,1012.0,1118,148,363,62539296,261875.77370304114,572949.3444227006
ee1a4069-d828-47a2-9d6f-57c4ba260f68,lgulliver/derrick,Claude Code,claude-haiku-4-5-20251001,data/transcripts/ee1a4069-d828-47a2-9d6f-57c4ba260f68.jsonl,3.8438857436922267,1.7358460921500307,5.568645458590387,60521,0,270827,59853.0,1107102.0,66856610.0,270386.0,198.0,223,18,148,5383489,307737.65470852016,413406.6084337349
ses_2ed7d6f3dffeVXDzBr84bDXF42,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_2ed7d6f3dffeVXDzBr84bDXF42-a23612fb1fcb.jsonl,3.823561614870761,2.268131479845361,5.096186270800634,1557731,0,100281,1557731.0,0.0,44212096.0,100281.0,377.0,398,53,43,14891693,119418.33417085427,495088.5104166667
6bafbeea-d7b3-4c07-988b-2d438e21bed3,itsmaleen/dispatch,Claude Code,,data/transcripts/6bafbeea-d7b3-4c07-988b-2d438e21bed3.jsonl,3.8137882468956255,2.804047759847606,4.639939554480368,9956,0,387918,9956.0,9814053.0,104977985.0,387918.0,1161.0,1080,111,98,39481081,107026.80277777778,553057.1626794258
ses_32f86a047ffeSbgxROphokK4NP,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_32f86a047ffeSbgxROphokK4NP.jsonl,3.7741985903987443,2.2338369978444352,5.03449443885227,5521935,0,127900,1627399.0,0.0,14525056.0,54190.0,154.0,371,47,33,15261861,58912.76010781671,273207.925
ses_3209ae199ffeHXONPjnnLsq25b,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_3209ae199ffeHXONPjnnLsq25b.jsonl,3.764693787981325,2.147226595554969,5.088076036330161,6434715,0,146262,4359136.0,0.0,32279680.0,84846.0,180.0,382,30,35,10789121,113363.40052356021,666227.9846153846
ses_30b90a640ffeM55ueybSoipAeT,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_30b90a640ffeM55ueybSoipAeT-60bed4df97b2.jsonl,3.7627530258179256,2.295074531864569,4.963580884507035,7081882,0,131099,404454.0,0.0,2591488.0,4991.0,15.0,324,107,108,8928896,31524.472222222223,47506.64651162791
